 #	x	F(x)
 0.0000000  1.0000000
 0.0010010  1.0000000
 0.0020020  1.0000000
 0.0030030  1.0000000
 0.0040040  1.0000000
 0.0050050  1.0000000
 0.0060060  1.0000000
 0.0070070  1.0000000
 0.0080080  0.9999999
 0.0090090  0.9999999
 0.0100100  0.9999999
 0.0110110  0.9999999
 0.0120120  0.9999998
 0.0130130  0.9999998
 0.0140140  0.9999997
 0.0150150  0.9999997
 0.0160160  0.9999996
 0.0170170  0.9999995
 0.0180180  0.9999994
 0.0190190  0.9999993
 0.0200200  0.9999992
 0.0210210  0.9999991
 0.0220220  0.9999989
 0.0230230  0.9999988
 0.0240240  0.9999986
 0.0250250  0.9999984
 0.0260260  0.9999982
 0.0270270  0.9999980
 0.0280280  0.9999978
 0.0290290  0.9999976
 0.0300300  0.9999973
 0.0310310  0.9999970
 0.0320320  0.9999967
 0.0330330  0.9999964
 0.0340340  0.9999961
 0.0350350  0.9999957
 0.0360360  0.9999953
 0.0370370  0.9999949
 0.0380380  0.9999945
 0.0390390  0.9999941
 0.0400400  0.9999936
 0.0410410  0.9999931
 0.0420420  0.9999926
 0.0430430  0.9999920
 0.0440440  0.9999915
 0.0450450  0.9999909
 0.0460460  0.9999902
 0.0470470  0.9999896
 0.0480480  0.9999889
 0.0490490  0.9999882
 0.0500501  0.9999875
 0.0510511  0.9999867
 0.0520521  0.9999859
 0.0530531  0.9999851
 0.0540541  0.9999842
 0.0550551  0.9999833
 0.0560561  0.9999824
 0.0570571  0.9999814
 0.0580581  0.9999804
 0.0590591  0.9999794
 0.0600601  0.9999783
 0.0610611  0.9999772
 0.0620621  0.9999761
 0.0630631  0.9999749
 0.0640641  0.9999737
 0.0650651  0.9999725
 0.0660661  0.9999712
 0.0670671  0.9999698
 0.0680681  0.9999685
 0.0690691  0.9999671
 0.0700701  0.9999656
 0.0710711  0.9999641
 0.0720721  0.9999626
 0.0730731  0.9999610
 0.0740741  0.9999594
 0.0750751  0.9999577
 0.0760761  0.9999560
 0.0770771  0.9999542
 0.0780781  0.9999524
 0.0790791  0.9999505
 0.0800801  0.9999486
 0.0810811  0.9999467
 0.0820821  0.9999447
 0.0830831  0.9999426
 0.0840841  0.9999406
 0.0850851  0.9999384
 0.0860861  0.9999362
 0.0870871  0.9999340
 0.0880881  0.9999316
 0.0890891  0.9999293
 0.0900901  0.9999269
 0.0910911  0.9999244
 0.0920921  0.9999219
 0.0930931  0.9999193
 0.0940941  0.9999167
 0.0950951  0.9999140
 0.0960961  0.9999113
 0.0970971  0.9999085
 0.0980981  0.9999056
 0.0990991  0.9999027
 0.1001001  0.9998997
 0.1011011  0.9998967
 0.1021021  0.9998936
 0.1031031  0.9998904
 0.1041041  0.9998872
 0.1051051  0.9998839
 0.1061061  0.9998805
 0.1071071  0.9998771
 0.1081081  0.9998737
 0.1091091  0.9998701
 0.1101101  0.9998665
 0.1111111  0.9998628
 0.1121121  0.9998591
 0.1131131  0.9998553
 0.1141141  0.9998514
 0.1151151  0.9998475
 0.1161161  0.9998434
 0.1171171  0.9998394
 0.1181181  0.9998352
 0.1191191  0.9998310
 0.1201201  0.9998267
 0.1211211  0.9998223
 0.1221221  0.9998179
 0.1231231  0.9998134
 0.1241241  0.9998088
 0.1251251  0.9998041
 0.1261261  0.9997994
 0.1271271  0.9997945
 0.1281281  0.9997897
 0.1291291  0.9997847
 0.1301301  0.9997796
 0.1311311  0.9997745
 0.1321321  0.9997693
 0.1331331  0.9997640
 0.1341341  0.9997587
 0.1351351  0.9997532
 0.1361361  0.9997477
 0.1371371  0.9997421
 0.1381381  0.9997364
 0.1391391  0.9997306
 0.1401401  0.9997248
 0.1411411  0.9997188
 0.1421421  0.9997128
 0.1431431  0.9997067
 0.1441441  0.9997005
 0.1451451  0.9996942
 0.1461461  0.9996879
 0.1471471  0.9996814
 0.1481481  0.9996748
 0.1491491  0.9996682
 0.1501502  0.9996615
 0.1511512  0.9996547
 0.1521522  0.9996478
 0.1531532  0.9996408
 0.1541542  0.9996337
 0.1551552  0.9996265
 0.1561562  0.9996192
 0.1571572  0.9996118
 0.1581582  0.9996044
 0.1591592  0.9995968
 0.1601602  0.9995892
 0.1611612  0.9995814
 0.1621622  0.9995736
 0.1631632  0.9995656
 0.1641642  0.9995576
 0.1651652  0.9995494
 0.1661662  0.9995412
 0.1671672  0.9995329
 0.1681682  0.9995244
 0.1691692  0.9995159
 0.1701702  0.9995072
 0.1711712  0.9994985
 0.1721722  0.9994896
 0.1731732  0.9994807
 0.1741742  0.9994716
 0.1751752  0.9994625
 0.1761762  0.9994532
 0.1771772  0.9994438
 0.1781782  0.9994343
 0.1791792  0.9994247
 0.1801802  0.9994150
 0.1811812  0.9994052
 0.1821822  0.9993953
 0.1831832  0.9993853
 0.1841842  0.9993752
 0.1851852  0.9993649
 0.1861862  0.9993546
 0.1871872  0.9993441
 0.1881882  0.9993335
 0.1891892  0.9993228
 0.1901902  0.9993120
 0.1911912  0.9993011
 0.1921922  0.9992901
 0.1931932  0.9992789
 0.1941942  0.9992677
 0.1951952  0.9992563
 0.1961962  0.9992448
 0.1971972  0.9992332
 0.1981982  0.9992214
 0.1991992  0.9992096
 0.2002002  0.9991976
 0.2012012  0.9991855
 0.2022022  0.9991733
 0.2032032  0.9991609
 0.2042042  0.9991485
 0.2052052  0.9991359
 0.2062062  0.9991232
 0.2072072  0.9991104
 0.2082082  0.9990974
 0.2092092  0.9990843
 0.2102102  0.9990711
 0.2112112  0.9990578
 0.2122122  0.9990443
 0.2132132  0.9990307
 0.2142142  0.9990170
 0.2152152  0.9990032
 0.2162162  0.9989892
 0.2172172  0.9989751
 0.2182182  0.9989609
 0.2192192  0.9989465
 0.2202202  0.9989320
 0.2212212  0.9989174
 0.2222222  0.9989026
 0.2232232  0.9988877
 0.2242242  0.9988727
 0.2252252  0.9988575
 0.2262262  0.9988422
 0.2272272  0.9988268
 0.2282282  0.9988112
 0.2292292  0.9987955
